Date,Price,Open,High,Low,Vol.,Change %
4/13/23,2012.11,1916.59,2018.73,1899.96,721.56K,4.98%
4/12/23,1916.58,1889.86,1930.46,1857.35,669.43K,1.41%
4/11/23,1889.86,1910.35,1935.75,1884.64,428.26K,-1.07%
4/10/23,1910.36,1858.90,1916.53,1847.39,457.41K,2.77%
4/9/23,1858.90,1848.93,1871.87,1825.60,306.40K,0.54%
4/8/23,1848.93,1863.45,1879.11,1847.72,207.67K,-0.78%
4/7/23,1863.46,1872.35,1882.56,1844.43,298.77K,-0.47%
4/6/23,1872.35,1908.95,1908.95,1855.89,420.80K,-1.92%
4/5/23,1908.96,1870.52,1936.10,1864.64,583.84K,2.05%
4/4/23,1870.52,1810.77,1887.33,1802.51,658.37K,3.30%
4/3/23,1810.77,1795.01,1838.71,1764.26,657.58K,0.88%
4/2/23,1795.01,1820.78,1824.32,1775.81,334.84K,-1.42%
4/1/23,1820.78,1821.62,1840.27,1811.67,283.39K,-0.05%
3/31/23,1821.62,1793.59,1845.54,1782.26,579.01K,1.56%
3/30/23,1793.59,1793.16,1828.91,1766.90,607.74K,0.02%
3/29/23,1793.27,1772.64,1825.01,1772.64,564.93K,1.16%
3/28/23,1772.63,1714.65,1792.38,1702.95,561.33K,3.38%
3/27/23,1714.65,1773.91,1780.06,1691.38,607.00K,-3.35%
3/26/23,1774.06,1742.32,1796.77,1739.39,371.97K,1.82%
3/25/23,1742.34,1749.28,1761.66,1714.43,368.84K,-0.40%
3/24/23,1749.26,1813.62,1818.53,1728.69,602.30K,-3.57%
3/23/23,1814.08,1734.32,1852.48,1729.38,767.73K,4.59%
3/22/23,1734.48,1801.58,1818.47,1711.05,933.24K,-3.83%
3/21/23,1803.54,1732.32,1833.12,1719.55,779.81K,4.11%
3/20/23,1732.31,1780.12,1802.76,1723.90,716.26K,-2.65%
3/19/23,1779.47,1758.70,1838.84,1758.66,574.73K,1.18%
3/18/23,1758.70,1789.38,1833.82,1751.14,763.06K,-1.71%
3/17/23,1789.38,1673.76,1796.74,1663.67,975.13K,6.90%
3/16/23,1673.85,1649.66,1689.09,1634.21,660.14K,1.47%
3/15/23,1649.65,1700.14,1716.56,1614.93,1.02M,-2.97%
3/14/23,1700.15,1673.83,1776.65,1655.74,1.36M,1.57%
3/13/23,1673.93,1580.28,1690.18,1565.83,1.30M,5.93%
3/12/23,1580.24,1472.08,1585.09,1452.33,1.06M,7.42%
3/11/23,1471.15,1426.74,1475.92,1408.58,1.43M,3.11%
3/10/23,1426.75,1437.49,1437.49,1371.47,1.01M,-0.82%
3/9/23,1438.50,1533.04,1545.98,1413.17,764.77K,-6.17%
3/8/23,1533.04,1561.79,1569.70,1531.28,478.44K,-1.84%
3/7/23,1561.78,1565.84,1580.95,1536.31,460.10K,-0.26%
3/6/23,1565.84,1564.36,1581.13,1555.43,322.16K,0.09%
3/5/23,1564.37,1566.73,1587.95,1556.84,313.01K,-0.15%
3/4/23,1566.73,1569.45,1577.02,1550.10,247.02K,-0.14%
3/3/23,1568.89,1647.86,1649.19,1547.61,783.74K,-4.76%
3/2/23,1647.38,1666.09,1677.45,1620.20,440.63K,-1.12%
3/1/23,1666.09,1604.69,1668.55,1595.40,497.12K,3.83%
2/28/23,1604.69,1633.66,1646.33,1598.67,411.49K,-1.77%
2/27/23,1633.66,1641.59,1664.98,1609.82,458.53K,-0.48%
2/26/23,1641.60,1594.66,1648.77,1588.65,326.58K,2.94%
2/25/23,1594.66,1608.24,1608.62,1562.10,309.29K,-0.84%
2/24/23,1608.24,1650.52,1663.82,1579.68,548.07K,-2.56%
2/23/23,1650.52,1643.39,1678.20,1630.94,529.75K,0.43%
2/22/23,1643.39,1659.41,1666.39,1600.79,560.40K,-0.97%
2/21/23,1659.41,1703.29,1716.35,1637.16,554.52K,-2.58%
2/20/23,1703.27,1681.49,1719.10,1651.54,478.59K,1.29%
2/19/23,1681.52,1691.62,1722.28,1670.97,427.00K,-0.60%
2/18/23,1691.62,1693.96,1708.87,1681.17,283.51K,-0.14%
2/17/23,1693.96,1640.66,1720.06,1631.92,617.21K,3.25%
2/16/23,1640.66,1675.43,1738.87,1634.97,894.27K,-2.08%
2/15/23,1675.43,1555.45,1676.94,1542.80,627.07K,7.71%
2/14/23,1555.46,1505.85,1565.20,1494.30,705.28K,3.29%
2/13/23,1505.84,1515.44,1525.56,1464.10,681.85K,-0.63%
2/12/23,1515.44,1538.34,1547.30,1495.05,302.73K,-1.49%
2/11/23,1538.34,1513.12,1542.64,1508.07,306.24K,1.62%
2/10/23,1513.82,1545.35,1554.19,1499.49,523.33K,-2.04%
2/9/23,1545.35,1650.97,1655.96,1530.98,702.21K,-6.40%
2/8/23,1650.99,1671.39,1694.28,1631.15,447.57K,-1.22%
2/7/23,1671.40,1613.72,1676.83,1613.20,481.91K,3.57%
2/6/23,1613.72,1629.44,1657.75,1606.59,401.03K,-0.96%
2/5/23,1629.44,1666.90,1671.88,1612.70,435.14K,-2.25%
2/4/23,1666.90,1663.78,1694.58,1646.11,328.66K,0.19%
2/3/23,1663.79,1641.70,1673.59,1628.73,489.79K,1.34%
2/2/23,1641.71,1642.10,1710.27,1632.39,685.27K,-0.02%
2/1/23,1642.10,1585.27,1647.27,1560.18,505.44K,3.59%
1/31/23,1585.27,1566.50,1602.03,1562.04,368.94K,1.20%
1/30/23,1566.50,1645.97,1647.25,1540.25,630.55K,-4.83%
1/29/23,1645.97,1572.13,1657.19,1566.90,595.67K,4.63%
1/28/23,1573.07,1597.61,1605.96,1561.24,332.62K,-1.54%
1/27/23,1597.60,1602.54,1620.15,1560.21,533.75K,-0.31%
1/26/23,1602.55,1611.20,1629.89,1581.76,552.26K,-0.54%
1/25/23,1611.20,1555.97,1638.97,1523.71,681.59K,3.54%
